# Banked REAL checkpoint headers — id <TAB> ref[,ref...] <TAB> note <TAB> member filter
# Regenerate with scripts/bank-headers.py (header ranges only, zero weight bytes).
# These are the measured input of BOTH the banked v1 verdict baselines and every
# v2 proof: committed, never fetched at test time.
# The member filter picks ONE packaging out of a repo that ships several side by
# side — a tree carrying both `.safetensors` and `.fp16.safetensors` is two
# checkpoints, not one.
sdxl-base	hf:stabilityai/stable-diffusion-xl-base-1.0:unet,hf:stabilityai/stable-diffusion-xl-base-1.0:vae,hf:stabilityai/stable-diffusion-xl-base-1.0:text_encoder,hf:stabilityai/stable-diffusion-xl-base-1.0:text_encoder_2	the SDXL reference tree, diffusers multifolder. EXCLUDES vae_1_0 (the same VAE in its 1.0-config variant — an alternate component packaging beside the tree, not a missing component)	!.fp16.
sdxl-base-fp16	hf:stabilityai/stable-diffusion-xl-base-1.0:unet,hf:stabilityai/stable-diffusion-xl-base-1.0:vae,hf:stabilityai/stable-diffusion-xl-base-1.0:text_encoder,hf:stabilityai/stable-diffusion-xl-base-1.0:text_encoder_2	the same tree packaged fp16 — the dominant community packaging, and the DERIVABLE case. EXCLUDES vae_1_0 (same alternate-variant folder as the fp32 row)	.fp16.
sdxl-base-sharded	local:/home/fidika/.cache/cozy/pgw1587-accept/sdxl-bf16-tree	the same network with a 3-shard unet — the shard-flattening case	
sdxl-inpainting	hf:diffusers/stable-diffusion-xl-1.0-inpainting-0.1:unet	SUB-NETWORK (the @1-era HOLE bank, kept for the v1-verdict regression): 9-channel conv_in — THE HOLE v1 admits	!.fp16.
sd15	hf:stable-diffusion-v1-5/stable-diffusion-v1-5:unet	SUB-NETWORK (@1-era extraction reference, kept for the v1-verdict regression): SD1.x — rank-4 proj_in/proj_out	!.fp16.|.non_ema.
sd-turbo	hf:stabilityai/sd-turbo:unet	SUB-NETWORK (@1-era, regression bank): SD2.x — rank-2 proj_in/proj_out, identical key set	!.fp16.
anima-base	hf:circlestone-labs/Anima:split_files/diffusion_models/anima-base-v1.0.safetensors	SUB-NETWORK (a real upstream single-file artifact — the anima.net@1 morphism anchor): net.* packaging	
anima-turbo	hf:circlestone-labs/Anima:split_files/diffusion_models/anima-turbo-v1.0.safetensors	SUB-NETWORK (the rekey morphism's other end, a real upstream single-file artifact): model.diffusion_model.* packaging — the rekey morphism's other end	
joycaption	hf:fancyfeast/llama-joycaption-beta-one-hf-llava	4 shards — the multi-shard self-refusal class	
musicgen	hf:facebook/musicgen-stereo-medium	fp16 transformers packaging	
ltx-2-upsampler	hf:dg845/LTX-2.3-Spatial-Upsampler-Diffusers:latent_upsampler	SUB-NETWORK (@1-era, regression bank): conditional layout	
ernie	hf:baidu/ERNIE-Image@5346b31d68c9c23758ba56ef8be5e9dc174c7f99:transformer	SUB-NETWORK (@1-era, regression bank): the human-authored document's own reference	
qwen3.6-35b-a3b-fp8	hf:Qwen/Qwen3.6-35B-A3B-FP8	42 shards, fp8 + head-major q|gate fusion	
minimax-h3-diffusers	hf:MiniMaxAI/MiniMax-H3:transformer	SUB-NETWORK (the minimax-h3.diffusers@1 morphism anchor — what te#185's second stop measured): 638 keys, split to_q/to_k/to_v — what the hub ships (te#185's second stop)	
qwen3.6-35b-a3b	hf:Qwen/Qwen3.6-35B-A3B	the bf16 reference the fp8 release quantizes	
flux1	hf:black-forest-labs/FLUX.1-dev:transformer,hf:black-forest-labs/FLUX.1-dev:text_encoder,hf:black-forest-labs/FLUX.1-dev:text_encoder_2,hf:black-forest-labs/FLUX.1-dev:vae	FLUX.1-dev, diffusers multifolder	
flux2-klein	hf:black-forest-labs/FLUX.2-klein-4B:transformer,hf:black-forest-labs/FLUX.2-klein-4B:text_encoder,hf:black-forest-labs/FLUX.2-klein-4B:vae	FLUX.2 klein-4B	
hidream-o1	hf:HiDream-ai/HiDream-O1-Image-Dev	8 shards at the repo root	
ltx-2	hf:diffusers/LTX-2.3-Distilled-Diffusers:transformer,hf:diffusers/LTX-2.3-Distilled-Diffusers:vae,hf:diffusers/LTX-2.3-Distilled-Diffusers:audio_vae,hf:diffusers/LTX-2.3-Distilled-Diffusers:connectors,hf:diffusers/LTX-2.3-Distilled-Diffusers:text_encoder,hf:diffusers/LTX-2.3-Distilled-Diffusers:vocoder	LTX-2.3 distilled	
wan22	hf:Wan-AI/Wan2.2-T2V-A14B-Diffusers:transformer,hf:Wan-AI/Wan2.2-T2V-A14B-Diffusers:transformer_2,hf:Wan-AI/Wan2.2-T2V-A14B-Diffusers:vae,hf:Wan-AI/Wan2.2-T2V-A14B-Diffusers:text_encoder	Wan 2.2 T2V A14B — two denoisers	
z-image	hf:Tongyi-MAI/Z-Image-Turbo:transformer,hf:Tongyi-MAI/Z-Image-Turbo:vae,hf:Tongyi-MAI/Z-Image-Turbo:text_encoder	Z-Image Turbo	
stable-audio	hf:stabilityai/stable-audio-open-1.0:transformer,hf:stabilityai/stable-audio-open-1.0:vae,hf:stabilityai/stable-audio-open-1.0:text_encoder,hf:stabilityai/stable-audio-open-1.0:projection_model	Stable Audio Open 1.0	
qwen-image	hf:Qwen/Qwen-Image:transformer,hf:Qwen/Qwen-Image:vae,hf:Qwen/Qwen-Image:text_encoder	Qwen-Image, diffusers multifolder — the upstream of tensorhub/qwen-image
internvl-u	hf:InternVL-U/InternVL-U@f012d760e69712bb47f7d3d09a24280f346cee01:generation_decoder,hf:InternVL-U/InternVL-U@f012d760e69712bb47f7d3d09a24280f346cee01:vae,hf:InternVL-U/InternVL-U@f012d760e69712bb47f7d3d09a24280f346cee01:vlm	InternVL-U at the PUBLIC UNGATED original's pinned revision — the F32 output island is real and measured
trellis2	hf:microsoft/TRELLIS.2-4B@af44b45f2e35a493886929c6d786e563ec68364d:ckpts	TRELLIS.2-4B's whole ckpts/ tree, upstream's own flat layout and not a diffusers one. NINE members in ONE directory: three different bf16 DiTs (two of them shipped twice), and four fp16 autoencoders — which is why component grouping is by key DISJOINTNESS and not by folder.
krea-2	hf:krea/Krea-2-Raw:transformer,hf:krea/Krea-2-Raw:vae,hf:krea/Krea-2-Raw:text_encoder	Krea 2 Raw, diffusers multifolder. Gated: read with the fleet's own HF_TOKEN, header ranges only. The single-file `raw.safetensors` at the root is a SECOND packaging and is excluded by taking the subfolders.
rife	hub:tensorhub/rife-4.25@prod	RIFE v4.25's flownet. THE ONE SOURCE WITH NO UPSTREAM TREE: `cozy_rife.save_artifact` writes it pod-side out of Practical-RIFE 4.25's flownet.pkl, so the checkpoint tensorhub serves IS the reference and nothing on HuggingFace is it. Needs COZY_HUB_TOKEN.
# THE PUBLISHED PACKAGING. A topology extracted from an upstream repo is only
# useful if the tree TENSORHUB SERVES is that topology, and the two are not the
# same thing: the hub repacks shard counts and sometimes the element type. These
# rows are the checkpoints prod actually binds, pinned by DIGEST so a later
# release cut cannot move them, and spec/v2/baselines/stamps.json asserts what
# each one stamps. They are proof, not a second reference — no CORPUS.tsv row
# extracts a topology from them.
qwen-image-hub	hub:tensorhub/qwen-image@sha256:0780e58ef8ec16e095668e95a9ccfc87b9af4e41b3dc01b8ef7e2755d4f1c809	the bf16 qwen-image checkpoint prod binds — 30 members where upstream ships 14, same 2856 tensors
qwen-image-edit-hub	hub:tensorhub/qwen-image-edit-2511@sha256:53058727d177b9e4ee2721b51f817154ba7ef46c7d93b107385549777549e548	the native-editing checkpoint. ONE topology covers both repos, and this is where that stops being a claim.
stable-audio-hub	hub:tensorhub/stable-audio-open@prod	what stable-audio-open serves: the SAME 915 tensors as upstream, in F16 where upstream is F32
foundation-1-hub	hub:tensorhub/foundation-1@prod	the second endpoint on that one topology
krea-2-hub	hub:tensorhub/krea-2-raw@prod	20 members where upstream ships 5 — the shard-flattening case, on our own packaging
sdxl-inpainting-bf16	recast:sdxl-inpainting:BF16	THE HOLE, in the packaging that exposes it: the real 9-channel inpainting UNet re-typed to bf16, which is what tensorhub publishes. v1 ADMITS this into the SDXL lane.	
sd15-hub	hub:tensorhub/sd15-base@sha256:5bd9078637d1e7d38878dfa60a9e4fdaea3a9e9f4cfc05895eccc442e57056f6	THE TREE sd15 BINDS (@prod): unet + vae + text_encoder + safety_checker, bf16 with two I64 position-id islands. The `.fp16.` in the member names is upstream's packaging label; the bytes are BF16, measured.
sd-turbo-hub	hub:tensorhub/sd-turbo@sha256:85db3656cc32533e78340f7005234ca7a26b25e1e89c15c6e92308860028fcfb	the whole published SD-Turbo tree (@prod): unet + vae + the 372-tensor OpenCLIP text encoder.
anima-hub	hub:tensorhub/anima@sha256:42722a682320dd72c63292b7bbd096be7de9bcb07e89fc8a906faf2615a664b6	the composed tree anima BINDS (@composed-v3): the net.* dit beside the Qwen3-0.6B text encoder and the qwen-image VAE. tensorhub publishes THREE bf16 packagings of this one topology (dit/, transformer/ 2-shard, split_files/) — content-grouping makes one record admit all three.
ernie-hub	hub:tensorhub/ernie-image@sha256:e8cd9241cfa57d2115f7bfdefd98fde5cd77a5f2fd40e586e511f7b807c05f0d	the whole published ERNIE-Image tree (@prod): transformer + text_encoder + pe (the vision tower) and the rest of what the fleet actually binds.
ltx-2-upsampler-hub	hub:tensorhub/ltx-2.3-upsampler@sha256:0ad923fac1cec0b11fff48e9ff977ef262067d9ff299eb4896cebcad5d9d902f	the whole published upsampler tree (@prod): latent_upsampler + its vae — the vae the sub-tree extraction missed.
minimax-h3-hub	hub:tensorhub/minimax-h3@sha256:318f8e5ae0fdce26c5db487a24e668cd7246f2235e6a28129a92715faedad33c	the plain serving tree (@serve-narrowed): bf16 transformer + narrowed bf16 text encoder + F32 vae and audio_vae. 66 GB of bf16 transformer beside 11 GB of F32 autoencoders that OUTNUMBER it by key count — the tree that forced dominance to be measured in BYTES.
wan22-hub	hub:tensorhub/wan22-t2v-a14b@sha256:84d2e5294fdcb9bc15cd218c91f0171b900239846b18001775ee6a029768feec	the tree wan-2.2 BINDS (@prod): bf16 transformer + transformer_2 + text_encoder beside the F32 VAE upstream never converts. The F32 VAE island is why the sub-tree-era record refused the fleet's own checkpoint.
sdxl-hub	hub:tensorhub/wai-illustrious@sha256:55c20c66004d0dfb707fadc44f7fab6f8e71eba51d001cc7ea747b3303b56aa9	the packaging sdxl SERVES (@prod-fp16vae): the whole F16 tree with the F32 fp16-fix VAE — the mixed-dtype packaging no @1-era record covered.
